1,2,3,4,5,6,7,8,9,10,11,12
0.9969,1.4464,1.8678,2.0785,0.8696,1.9821,1.8867,2.0053,1.1438,1.992,1.8218,1.9088
1.6563,2.0827,1.6807,2.1094,1.6463,2.1988,2.0551,2.2336,1.8402,1.9688,1.867,1.9348
1.8135,0.9265,0.8438,1.8971,2.0624,1.85,1.5642,2.0498,1.9995,1.7602,0.9048,2.0038
1.8389,2.2135,2.1082,2.1008,1.9229,2.293,2.0514,1.992,1.8658,2.2546,2.1596,1.9229
2.1181,1.9108,2.2641,1.8894,2.1854,2.0156,2.2892,1.8933,2.0688,1.9789,2.0861,1.9033
1.9392,1.811,2.2106,1.6979,2.0246,1.9242,2.316,1.7596,1.854,1.9959,2.1579,1.829
1.934,1.759,1.6256,2.2924,2.0287,1.6785,1.7038,2.2112,1.8756,1.6016,1.9025,2.1668
2.2096,1.4227,2.085,1.9676,2.2127,1.664,2.0017,2.1172,2.041,1.54,1.9526,2.0361
1,2,3,4,5,6,7,8,9,10,11,12
1.7669,1.9344,2.0912,2.3009,1.4639,1.8515,1.9625,2.1218,1.4499,1.8249,1.9331,2.196
2.1082,2.06,2.0513,2.35,1.889,2.209,2.0336,1.9896,1.9202,2.2838,2.1995,2.2241
1.9452,1.9537,1.5119,2.0788,1.9007,1.804,0.8313,2.0372,2.0507,1.816,1.9277,2.0855
1.8772,2.5046,2.2884,2.1232,1.7967,2.2086,2.2651,2.1666,2.0219,2.4842,2.3177,2.181
2.1273,2.0857,2.5007,1.9462,2.0177,2.0526,2.3141,1.9215,2.4025,2.1407,2.3568,1.8511
1.9209,2.0405,2.3397,1.9128,2.0919,2.0547,2.3057,1.9255,2.1157,2.2275,2.3157,1.8954
2.2684,1.9448,1.7817,2.3588,2.0964,1.7763,1.6811,2.3313,2.1176,1.9182,1.6418,2.272
2.2815,2.018,1.8799,2.3083,2.1847,1.7538,1.9633,2.1108,2.2149,1.7074,2.0849,2.312
1,2,3,4,5,6,7,8,9,10,11,12
1.7669,1.9344,2.0912,2.3009,1.4639,1.8515,1.9625,2.1218,1.4499,1.8249,1.9331,2.196
2.1082,2.06,2.0513,2.35,1.889,2.209,2.0336,1.9896,1.9202,2.2838,2.1995,2.2241
1.9452,1.9537,1.5119,2.0788,1.9007,1.804,0.8313,2.0372,2.0507,1.816,1.9277,2.0855
1.8772,2.5046,2.2884,2.1232,1.7967,2.2086,2.2651,2.1666,2.0219,2.4842,2.3177,2.181
2.1273,2.0857,2.5007,1.9462,2.0177,2.0526,2.3141,1.9215,2.4025,2.1407,2.3568,1.8511
1.9209,2.0405,2.3397,1.9128,2.0919,2.0547,2.3057,1.9255,2.1157,2.2275,2.3157,1.8954
2.2684,1.9448,1.7817,2.3588,2.0964,1.7763,1.6811,2.3313,2.1176,1.9182,1.6418,2.272
2.2815,2.018,1.8799,2.3083,2.1847,1.7538,1.9633,2.1108,2.2149,1.7074,2.0849,2.312
