1,2,3,4,5,6,7,8,9,10,11,12
0.2637,1.4822,1.2176,0.7623,0.2397,1.4932,1.1404,0.7658,0.5965,1.4561,1.2202,1.3504
1.3523,0.7581,1.5795,1.5134,1.0891,1.036,1.8571,1.6562,1.1849,1.4068,1.6642,1.7925
1.1179,0.3651,0.2184,0.4498,0.9276,0.3883,0.2047,0.4066,1.5158,0.5313,0.2836,0.7301
0.7895,1.1843,0.6107,1.056,0.9212,1.2438,0.8164,1.2317,1.5991,1.6052,1.2409,1.9918
1.0312,1.5349,1.4324,0.6149,0.8562,1.5034,1.7303,0.2661,1.0969,1.4814,1.8716,0.6236
1.4422,0.4542,0.5318,0.4636,1.3351,0.6561,0.5306,0.3049,1.1719,0.6655,1.5298,0.7575
1.5802,1.0988,0.2602,0.5473,1.6844,0.9985,0.276,0.4502,0.7871,1.1488,0.6293,0.6253
1,2,3,4,5,6,7,8,9,10,11,12
0.2637,1.4822,1.2176,0.7623,0.2397,1.4932,1.1404,0.7658,0.5965,1.4561,1.2202,1.3504
1.3523,0.7581,1.5795,1.5134,1.0891,1.036,1.8571,1.6562,1.1849,1.4068,1.6642,1.7925
1.1179,0.3651,0.2184,0.4498,0.9276,0.3883,0.2047,0.4066,1.5158,0.5313,0.2836,0.7301
0.7895,1.1843,0.6107,1.056,0.9212,1.2438,0.8164,1.2317,1.5991,1.6052,1.2409,1.9918
1.0312,1.5349,1.4324,0.6149,0.8562,1.5034,1.7303,0.2661,1.0969,1.4814,1.8716,0.6236
1.4422,0.4542,0.5318,0.4636,1.3351,0.6561,0.5306,0.3049,1.1719,0.6655,1.5298,0.7575
1.5802,1.0988,0.2602,0.5473,1.6844,0.9985,0.276,0.4502,0.7871,1.1488,0.6293,0.6253
1.0805,0.7621,1.1439,1.3378,1.0213,0.6874,1.3233,1.2485,0.9853,0.7611,1.1215,1.7092
