Names,Metabolites
Water,control
Pyruvic_acid_methyl_esther,ester
Tween40,polymer
Tween80,polymer
alpha_cyclodextrin,polymer
Glycogen,polymer
D_cellobiose,carbohydrate
alfa_D_Lactose,carbohydrate
Beta_methyl_D_glucoside,carbohydrate
D_xylose,carbohydrate
I_Erytritol,carbohydrate
D_Mannitol,carbohydrate
N_acetyl_D_glucosamine,carbohydrate
D_glucosaminic_acid,carboxylic_acid
Glucose_1_phosphate,phosphorylated
D_L_alpha_glycerol_phospate,phosphorylated
D_galactonic_acid_gama_lactone,carboxylic_acid
D_galactouronic_acid,carboxylic_acid
two_hydroxy_benzoic_Acid,carboxylic_acid
four_hydroxy_benzoic_Acid,carboxylic_acid
Gamma_hydroxybutyric_Acid,carboxylic_acid
Itaconic_Acid,carboxylic_acid
alpha_keto_butyric_acid,carboxylic_acid
D_malic_Acid,carboxylic_acid
L_Arginine,aminoacid
L_Asparagine,aminoacid
L_phenylalanine,aminoacid
L_serine,aminoacid
L_threonine,aminoacid
Glycyl_L_glutamic_Acid,aminoacid
Phenylethyl_amine,amine
Putrescine,amine
Water,control
Pyruvic_acid_methyl_esther,ester
Tween40,polymer
Tween80,polymer
alpha_cyclodextrin,polymer
Glycogen,polymer
D_cellobiose,carbohydrate
alfa_D_Lactose,carbohydrate
Beta_methyl_D_glucoside,carbohydrate
D_xylose,carbohydrate
I_Erytritol,carbohydrate
D_Mannitol,carbohydrate
N_acetyl_D_glucosamine,carbohydrate
D_glucosaminic_acid,carboxylic_acid
Glucose_1_phosphate,phosphorylated
D_L_alpha_glycerol_phospate,phosphorylated
D_galactonic_acid_gama_lactone,carboxylic_acid
D_galactouronic_acid,carboxylic_acid
two_hydroxy_benzoic_Acid,carboxylic_acid
four_hydroxy_benzoic_Acid,carboxylic_acid
Gamma_hydroxybutyric_Acid,carboxylic_acid
Itaconic_Acid,carboxylic_acid
alpha_keto_butyric_acid,carboxylic_acid
D_malic_Acid,carboxylic_acid
L_Arginine,aminoacid
L_Asparagine,aminoacid
L_phenylalanine,aminoacid
L_serine,aminoacid
L_threonine,aminoacid
Glycyl_L_glutamic_Acid,aminoacid
Phenylethyl_amine,amine
Putrescine,amine
Water,control
Pyruvic_acid_methyl_esther,ester
Tween40,polymer
Tween80,polymer
alpha_cyclodextrin,polymer
Glycogen,polymer
D_cellobiose,carbohydrate
alfa_D_Lactose,carbohydrate
Beta_methyl_D_glucoside,carbohydrate
D_xylose,carbohydrate
I_Erytritol,carbohydrate
D_Mannitol,carbohydrate
N_acetyl_D_glucosamine,carbohydrate
D_glucosaminic_acid,carboxylic_acid
Glucose_1_phosphate,phosphorylated
D_L_alpha_glycerol_phospate,phosphorylated
D_galactonic_acid_gama_lactone,carboxylic_acid
D_galactouronic_acid,carboxylic_acid
two_hydroxy_benzoic_Acid,carboxylic_acid
four_hydroxy_benzoic_Acid,carboxylic_acid
Gamma_hydroxybutyric_Acid,carboxylic_acid
Itaconic_Acid,carboxylic_acid
alpha_keto_butyric_acid,carboxylic_acid
D_malic_Acid,carboxylic_acid
L_Arginine,aminoacid
L_Asparagine,aminoacid
L_phenylalanine,aminoacid
L_serine,aminoacid
L_threonine,aminoacid
Glycyl_L_glutamic_Acid,aminoacid
Phenylethyl_amine,amine
Putrescine,amine
