1,2,3,4,5,6,7,8,9,10,11,12
0.9969,1.4464,1.8678,2.0785,0.8696,1.9821,1.8867,2.0053,1.1438,1.992,1.8218,1.9088
1.6563,2.0827,1.6807,2.1094,1.6463,2.1988,2.0551,2.2336,1.8402,1.9688,1.867,1.9348
1.8135,0.9265,0.8438,1.8971,2.0624,1.85,1.5642,2.0498,1.9995,1.7602,0.9048,2.0038
1.8389,2.2135,2.1082,2.1008,1.9229,2.293,2.0514,1.992,1.8658,2.2546,2.1596,1.9229
2.1181,1.9108,2.2641,1.8894,2.1854,2.0156,2.2892,1.8933,2.0688,1.9789,2.0861,1.9033
1.9392,1.811,2.2106,1.6979,2.0246,1.9242,2.316,1.7596,1.854,1.9959,2.1579,1.829
1.934,1.759,1.6256,2.2924,2.0287,1.6785,1.7038,2.2112,1.8756,1.6016,1.9025,2.1668
2.2096,1.4227,2.085,1.9676,2.2127,1.664,2.0017,2.1172,2.041,1.54,1.9526,2.0361
1,2,3,4,5,6,7,8,9,10,11,12
1.7669,1.9344,2.0912,2.3009,1.4639,1.8515,1.9625,2.1218,1.4499,1.8249,1.9331,2.196
2.1082,2.06,2.0513,2.35,1.889,2.209,2.0336,1.9896,1.9202,2.2838,2.1995,2.2241
1.9452,1.9537,1.5119,2.0788,1.9007,1.804,0.8313,2.0372,2.0507,1.816,1.9277,2.0855
1.8772,2.5046,2.2884,2.1232,1.7967,2.2086,2.2651,2.1666,2.0219,2.4842,2.3177,2.181
2.1273,2.0857,2.5007,1.9462,2.0177,2.0526,2.3141,1.9215,2.4025,2.1407,2.3568,1.8511
1.9209,2.0405,2.3397,1.9128,2.0919,2.0547,2.3057,1.9255,2.1157,2.2275,2.3157,1.8954
2.2684,1.9448,1.7817,2.3588,2.0964,1.7763,1.6811,2.3313,2.1176,1.9182,1.6418,2.272
2.2815,2.018,1.8799,2.3083,2.1847,1.7538,1.9633,2.1108,2.2149,1.7074,2.0849,2.312
1,2,3,4,5,6,7,8,9,10,11,12
1.0646,1.8959,2.0286,1.9974,1.5825,1.6471,1.8948,1.9788,1.625,1.8482,1.9152,1.8876
1.9959,2.1538,1.9462,2.2914,2.0954,2.2145,2.0567,2.0232,1.9445,2.1881,1.8787,1.775
1.8529,1.4838,1.4549,1.7024,1.806,1.9998,1.5738,1.9331,1.7339,1.5819,1.0459,2.0185
1.8077,1.9044,2.2486,2.0742,1.8421,2.301,2.2738,2.1872,1.7132,2.2226,2.1333,1.8917
2.0776,1.984,2.276,1.5915,1.934,2.048,2.1487,2.0003,2.1077,1.8148,2.0784,1.9232
1.9879,1.8954,2.1862,1.7715,2.0211,1.8866,2.4525,1.7802,2.1459,2.0439,2.3147,1.7507
2.2738,1.8686,1.4538,2.4287,2.1656,1.5825,1.7112,2.2743,1.987,1.7794,1.4961,2.2643
2.2006,1.6798,2.0606,2.0927,2.167,1.7361,1.8703,2.0823,2.1678,1.7696,1.8289,2.0269
1,2,3,4,5,6,7,8,9,10,11,12
0.8559,1.8077,1.845,1.7315,1.5778,2.1116,2.0913,2.2919,1.1659,1.6837,1.9557,1.9257
1.6735,2.219,1.8346,1.865,2.0833,2.3373,2.0472,2.4592,1.6699,2.1663,1.9411,1.9876
1.7451,1.5194,0.6737,2.1191,2.115,1.6646,2.3329,2.1478,1.7634,1.3325,1.2298,1.7413
1.7877,2.1245,2.1598,1.8165,2.0071,2.3251,2.332,2.2398,1.7561,2.1762,2.26,2.0399
2.1129,1.8017,2.0709,1.6228,2.4651,2.1561,2.5178,1.7458,2.2219,2.0189,2.2836,1.6086
1.7019,1.864,2.1531,1.5574,2.0834,2.1115,2.3942,1.9345,1.9703,2.0871,2.3819,1.665
1.9679,1.7242,1.693,2.1101,2.166,1.9501,1.7935,2.5507,2.238,1.5309,1.2966,2.26
2.0111,1.51,1.9745,2.0433,2.1217,1.9998,2.0197,2.2165,2.0999,1.3662,1.9174,1.9622
1,2,3,4,5,6,7,8,9,10,11,12
1.5074,2.1399,1.8227,2.0762,1.7786,1.8247,1.8803,1.988,2.008,1.8758,1.8249,1.9334
2.0611,2.2561,1.9183,2.0757,1.7604,2.2837,1.8788,2.475,1.836,2.1761,1.8768,1.9087
1.8098,1.8828,1.4627,2.0318,1.9405,1.9546,1.9005,2.1698,2.011,1.8062,1.1646,1.9718
1.8521,2.3975,2.0305,2.0246,1.8106,2.2706,2.0289,2.0933,1.8217,2.2955,2.0655,1.9813
2.3772,2.1849,2.3167,2.1868,2.28,2.054,2.1108,2.3657,1.981,1.9372,2.121,1.9001
1.8973,1.9714,1.9989,1.78,2.0438,2.3296,2.224,1.8079,1.9081,1.7638,1.9853,1.7882
1.9427,2.0544,1.6702,2.3598,2.1063,1.8776,1.6929,2.3723,1.9649,1.8017,1.6324,2.2398
2.1191,1.9222,2.1187,2.1976,2.173,1.8955,1.7116,2.3158,2.1432,1.8448,1.7781,2.0001
1,2,3,4,5,6,7,8,9,10,11,12
