1,2,3,4,5,6,7,8,9,10,11,12
0.9969,1.4464,1.8678,2.0785,0.8696,1.9821,1.8867,2.0053,1.1438,1.992,1.8218,1.9088
1.6563,2.0827,1.6807,2.1094,1.6463,2.1988,2.0551,2.2336,1.8402,1.9688,1.867,1.9348
1.8135,0.9265,0.8438,1.8971,2.0624,1.85,1.5642,2.0498,1.9995,1.7602,0.9048,2.0038
1.8389,2.2135,2.1082,2.1008,1.9229,2.293,2.0514,1.992,1.8658,2.2546,2.1596,1.9229
2.1181,1.9108,2.2641,1.8894,2.1854,2.0156,2.2892,1.8933,2.0688,1.9789,2.0861,1.9033
1.9392,1.811,2.2106,1.6979,2.0246,1.9242,2.316,1.7596,1.854,1.9959,2.1579,1.829
1.934,1.759,1.6256,2.2924,2.0287,1.6785,1.7038,2.2112,1.8756,1.6016,1.9025,2.1668
2.2096,1.4227,2.085,1.9676,2.2127,1.664,2.0017,2.1172,2.041,1.54,1.9526,2.0361
1,2,3,4,5,6,7,8,9,10,11,12
1.1913,1.9054,1.8747,1.952,1.4807,2.1464,2.2014,2.386,1.5777,2.1085,2.0874,2.1453
1.9992,2.3372,1.8954,1.943,2.1483,2.475,2.2616,2.3739,2.0335,2.362,2.0619,2.105
1.8404,1.4394,0.8311,1.8768,2.1566,2.1416,2.1837,2.2578,2.4064,1.9024,2.0731,2.1329
1.7301,2.1672,2.3132,2.1024,2.2225,2.5975,2.3978,2.2233,1.8606,2.3713,2.3195,2.104
1.7976,2.1314,2.3826,1.6116,2.4878,2.3659,2.4735,2.4743,2.4077,2.1767,2.347,2.0026
1.8622,1.9069,1.6337,1.6339,2.3194,2.2408,2.5437,2.0236,2.1196,2.04,2.4849,1.8706
2.0553,1.713,1.6631,1.8022,2.3254,2.021,1.9405,2.5664,2.1138,1.958,1.724,2.3141
2.2915,1.398,1.6096,2.1458,2.3579,1.9786,2.237,2.3615,2.2217,1.8136,2.0286,2.228
