,Metabolism,Value,SampleID,Plate
Water,control,0.9969,1,1
Pyruvic_acid_methyl_esther,ester,1.4464,1,1
Tween40,polymer,1.8678,1,1
Tween80,polymer,2.0785,1,1
alpha_cyclodextrin,polymer,1.6563,1,1
Glycogen,polymer,2.0827,1,1
D_cellobiose,carbohydrate,1.6807,1,1
alfa_D_Lactose,carbohydrate,2.1094,1,1
Beta_methyl_D_glucoside,carbohydrate,1.8135,1,1
D_xylose,carbohydrate,0.9265,1,1
I_Erytritol,carbohydrate,0.8438,1,1
D_Mannitol,carbohydrate,1.8971,1,1
N_acetyl_D_glucosamine,carbohydrate,1.8389,1,1
D_glucosaminic_acid,carboxylic_acid,2.2135,1,1
Glucose_1_phosphate,phosphorylated,2.1082,1,1
D_L_alpha_glycerol_phospate,phosphorylated,2.1008,1,1
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1181,1,1
D_galactouronic_acid,carboxylic_acid,1.9108,1,1
two_hydroxy_benzoic_Acid,carboxylic_acid,2.2641,1,1
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8894,1,1
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9392,1,1
Itaconic_Acid,carboxylic_acid,1.811,1,1
alpha_keto_butyric_acid,carboxylic_acid,2.2106,1,1
D_malic_Acid,carboxylic_acid,1.6979,1,1
L_Arginine,aminoacid,1.9340000000000002,1,1
L_Asparagine,aminoacid,1.7590000000000001,1,1
L_phenylalanine,aminoacid,1.6256,1,1
L_serine,aminoacid,2.2924,1,1
L_threonine,aminoacid,2.2096,1,1
Glycyl_L_glutamic_Acid,aminoacid,1.4227,1,1
Phenylethyl_amine,amine,2.085,1,1
Putrescine,amine,1.9676,1,1
Water,control,0.8696,2,1
Pyruvic_acid_methyl_esther,ester,1.9821,2,1
Tween40,polymer,1.8867,2,1
Tween80,polymer,2.0053,2,1
alpha_cyclodextrin,polymer,1.6463,2,1
Glycogen,polymer,2.1988,2,1
D_cellobiose,carbohydrate,2.0551,2,1
alfa_D_Lactose,carbohydrate,2.2336,2,1
Beta_methyl_D_glucoside,carbohydrate,2.0624,2,1
D_xylose,carbohydrate,1.85,2,1
I_Erytritol,carbohydrate,1.5642,2,1
D_Mannitol,carbohydrate,2.0498,2,1
N_acetyl_D_glucosamine,carbohydrate,1.9229,2,1
D_glucosaminic_acid,carboxylic_acid,2.293,2,1
Glucose_1_phosphate,phosphorylated,2.0514,2,1
D_L_alpha_glycerol_phospate,phosphorylated,1.992,2,1
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1854,2,1
D_galactouronic_acid,carboxylic_acid,2.0156,2,1
two_hydroxy_benzoic_Acid,carboxylic_acid,2.2892,2,1
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8933,2,1
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0246,2,1
Itaconic_Acid,carboxylic_acid,1.9242,2,1
alpha_keto_butyric_acid,carboxylic_acid,2.316,2,1
D_malic_Acid,carboxylic_acid,1.7596,2,1
L_Arginine,aminoacid,2.0287,2,1
L_Asparagine,aminoacid,1.6785,2,1
L_phenylalanine,aminoacid,1.7038,2,1
L_serine,aminoacid,2.2112,2,1
L_threonine,aminoacid,2.2127,2,1
Glycyl_L_glutamic_Acid,aminoacid,1.6640000000000001,2,1
Phenylethyl_amine,amine,2.0017,2,1
Putrescine,amine,2.1172,2,1
Water,control,1.1438,3,1
Pyruvic_acid_methyl_esther,ester,1.992,3,1
Tween40,polymer,1.8218,3,1
Tween80,polymer,1.9088,3,1
alpha_cyclodextrin,polymer,1.8402,3,1
Glycogen,polymer,1.9688,3,1
D_cellobiose,carbohydrate,1.867,3,1
alfa_D_Lactose,carbohydrate,1.9348,3,1
Beta_methyl_D_glucoside,carbohydrate,1.9995,3,1
D_xylose,carbohydrate,1.7602,3,1
I_Erytritol,carbohydrate,0.9048,3,1
D_Mannitol,carbohydrate,2.0038,3,1
N_acetyl_D_glucosamine,carbohydrate,1.8658,3,1
D_glucosaminic_acid,carboxylic_acid,2.2546,3,1
Glucose_1_phosphate,phosphorylated,2.1596,3,1
D_L_alpha_glycerol_phospate,phosphorylated,1.9229,3,1
D_galactonic_acid_gama_lactone,carboxylic_acid,2.0688,3,1
D_galactouronic_acid,carboxylic_acid,1.9789,3,1
two_hydroxy_benzoic_Acid,carboxylic_acid,2.0861,3,1
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9033,3,1
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.854,3,1
Itaconic_Acid,carboxylic_acid,1.9959,3,1
alpha_keto_butyric_acid,carboxylic_acid,2.1579,3,1
D_malic_Acid,carboxylic_acid,1.829,3,1
L_Arginine,aminoacid,1.8756,3,1
L_Asparagine,aminoacid,1.6016,3,1
L_phenylalanine,aminoacid,1.9025,3,1
L_serine,aminoacid,2.1668,3,1
L_threonine,aminoacid,2.041,3,1
Glycyl_L_glutamic_Acid,aminoacid,1.54,3,1
Phenylethyl_amine,amine,1.9526,3,1
Putrescine,amine,2.0361,3,1
Water,control,1.7669,1,2
Pyruvic_acid_methyl_esther,ester,1.9344,1,2
Tween40,polymer,2.0912,1,2
Tween80,polymer,2.3009,1,2
alpha_cyclodextrin,polymer,2.1082,1,2
Glycogen,polymer,2.06,1,2
D_cellobiose,carbohydrate,2.0513,1,2
alfa_D_Lactose,carbohydrate,2.35,1,2
Beta_methyl_D_glucoside,carbohydrate,1.9452,1,2
D_xylose,carbohydrate,1.9537,1,2
I_Erytritol,carbohydrate,1.5119,1,2
D_Mannitol,carbohydrate,2.0788,1,2
N_acetyl_D_glucosamine,carbohydrate,1.8772,1,2
D_glucosaminic_acid,carboxylic_acid,2.5046,1,2
Glucose_1_phosphate,phosphorylated,2.2884,1,2
D_L_alpha_glycerol_phospate,phosphorylated,2.1232,1,2
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1273,1,2
D_galactouronic_acid,carboxylic_acid,2.0857,1,2
two_hydroxy_benzoic_Acid,carboxylic_acid,2.5007,1,2
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9462,1,2
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9209,1,2
Itaconic_Acid,carboxylic_acid,2.0405,1,2
alpha_keto_butyric_acid,carboxylic_acid,2.3397,1,2
D_malic_Acid,carboxylic_acid,1.9128,1,2
L_Arginine,aminoacid,2.2684,1,2
L_Asparagine,aminoacid,1.9448,1,2
L_phenylalanine,aminoacid,1.7817,1,2
L_serine,aminoacid,2.3588,1,2
L_threonine,aminoacid,2.2815,1,2
Glycyl_L_glutamic_Acid,aminoacid,2.0180000000000002,1,2
Phenylethyl_amine,amine,1.8799,1,2
Putrescine,amine,2.3083,1,2
Water,control,1.4639,2,2
Pyruvic_acid_methyl_esther,ester,1.8515,2,2
Tween40,polymer,1.9625,2,2
Tween80,polymer,2.1218,2,2
alpha_cyclodextrin,polymer,1.889,2,2
Glycogen,polymer,2.209,2,2
D_cellobiose,carbohydrate,2.0336,2,2
alfa_D_Lactose,carbohydrate,1.9896,2,2
Beta_methyl_D_glucoside,carbohydrate,1.9007,2,2
D_xylose,carbohydrate,1.804,2,2
I_Erytritol,carbohydrate,0.8313,2,2
D_Mannitol,carbohydrate,2.0372,2,2
N_acetyl_D_glucosamine,carbohydrate,1.7967,2,2
D_glucosaminic_acid,carboxylic_acid,2.2086,2,2
Glucose_1_phosphate,phosphorylated,2.2651,2,2
D_L_alpha_glycerol_phospate,phosphorylated,2.1666,2,2
D_galactonic_acid_gama_lactone,carboxylic_acid,2.0177,2,2
D_galactouronic_acid,carboxylic_acid,2.0526,2,2
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3141,2,2
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9215,2,2
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0919,2,2
Itaconic_Acid,carboxylic_acid,2.0547,2,2
alpha_keto_butyric_acid,carboxylic_acid,2.3057,2,2
D_malic_Acid,carboxylic_acid,1.9255,2,2
L_Arginine,aminoacid,2.0964,2,2
L_Asparagine,aminoacid,1.7763,2,2
L_phenylalanine,aminoacid,1.6811,2,2
L_serine,aminoacid,2.3313,2,2
L_threonine,aminoacid,2.1847,2,2
Glycyl_L_glutamic_Acid,aminoacid,1.7538,2,2
Phenylethyl_amine,amine,1.9633,2,2
Putrescine,amine,2.1108,2,2
Water,control,1.4499,3,2
Pyruvic_acid_methyl_esther,ester,1.8249,3,2
Tween40,polymer,1.9331,3,2
Tween80,polymer,2.1959999999999997,3,2
alpha_cyclodextrin,polymer,1.9202,3,2
Glycogen,polymer,2.2838,3,2
D_cellobiose,carbohydrate,2.1995,3,2
alfa_D_Lactose,carbohydrate,2.2241,3,2
Beta_methyl_D_glucoside,carbohydrate,2.0507,3,2
D_xylose,carbohydrate,1.8159999999999998,3,2
I_Erytritol,carbohydrate,1.9277,3,2
D_Mannitol,carbohydrate,2.0855,3,2
N_acetyl_D_glucosamine,carbohydrate,2.0219,3,2
D_glucosaminic_acid,carboxylic_acid,2.4842,3,2
Glucose_1_phosphate,phosphorylated,2.3177,3,2
D_L_alpha_glycerol_phospate,phosphorylated,2.181,3,2
D_galactonic_acid_gama_lactone,carboxylic_acid,2.4025,3,2
D_galactouronic_acid,carboxylic_acid,2.1407,3,2
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3568,3,2
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8511,3,2
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1157,3,2
Itaconic_Acid,carboxylic_acid,2.2275,3,2
alpha_keto_butyric_acid,carboxylic_acid,2.3157,3,2
D_malic_Acid,carboxylic_acid,1.8954,3,2
L_Arginine,aminoacid,2.1176,3,2
L_Asparagine,aminoacid,1.9182,3,2
L_phenylalanine,aminoacid,1.6418,3,2
L_serine,aminoacid,2.272,3,2
L_threonine,aminoacid,2.2149,3,2
Glycyl_L_glutamic_Acid,aminoacid,1.7074,3,2
Phenylethyl_amine,amine,2.0849,3,2
Putrescine,amine,2.312,3,2
Water,control,1.0646,1,3
Pyruvic_acid_methyl_esther,ester,1.8959,1,3
Tween40,polymer,2.0286,1,3
Tween80,polymer,1.9974,1,3
alpha_cyclodextrin,polymer,1.9959,1,3
Glycogen,polymer,2.1538,1,3
D_cellobiose,carbohydrate,1.9462,1,3
alfa_D_Lactose,carbohydrate,2.2914,1,3
Beta_methyl_D_glucoside,carbohydrate,1.8529,1,3
D_xylose,carbohydrate,1.4838,1,3
I_Erytritol,carbohydrate,1.4549,1,3
D_Mannitol,carbohydrate,1.7024,1,3
N_acetyl_D_glucosamine,carbohydrate,1.8077,1,3
D_glucosaminic_acid,carboxylic_acid,1.9044,1,3
Glucose_1_phosphate,phosphorylated,2.2486,1,3
D_L_alpha_glycerol_phospate,phosphorylated,2.0742,1,3
D_galactonic_acid_gama_lactone,carboxylic_acid,2.0776,1,3
D_galactouronic_acid,carboxylic_acid,1.984,1,3
two_hydroxy_benzoic_Acid,carboxylic_acid,2.276,1,3
four_hydroxy_benzoic_Acid,carboxylic_acid,1.5915,1,3
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9879,1,3
Itaconic_Acid,carboxylic_acid,1.8954,1,3
alpha_keto_butyric_acid,carboxylic_acid,2.1862,1,3
D_malic_Acid,carboxylic_acid,1.7715,1,3
L_Arginine,aminoacid,2.2738,1,3
L_Asparagine,aminoacid,1.8686,1,3
L_phenylalanine,aminoacid,1.4538,1,3
L_serine,aminoacid,2.4287,1,3
L_threonine,aminoacid,2.2006,1,3
Glycyl_L_glutamic_Acid,aminoacid,1.6798,1,3
Phenylethyl_amine,amine,2.0606,1,3
Putrescine,amine,2.0927,1,3
Water,control,1.5825,2,3
Pyruvic_acid_methyl_esther,ester,1.6471,2,3
Tween40,polymer,1.8948,2,3
Tween80,polymer,1.9788,2,3
alpha_cyclodextrin,polymer,2.0954,2,3
Glycogen,polymer,2.2145,2,3
D_cellobiose,carbohydrate,2.0567,2,3
alfa_D_Lactose,carbohydrate,2.0232,2,3
Beta_methyl_D_glucoside,carbohydrate,1.806,2,3
D_xylose,carbohydrate,1.9998,2,3
I_Erytritol,carbohydrate,1.5738,2,3
D_Mannitol,carbohydrate,1.9331,2,3
N_acetyl_D_glucosamine,carbohydrate,1.8421,2,3
D_glucosaminic_acid,carboxylic_acid,2.301,2,3
Glucose_1_phosphate,phosphorylated,2.2738,2,3
D_L_alpha_glycerol_phospate,phosphorylated,2.1872,2,3
D_galactonic_acid_gama_lactone,carboxylic_acid,1.9340000000000002,2,3
D_galactouronic_acid,carboxylic_acid,2.048,2,3
two_hydroxy_benzoic_Acid,carboxylic_acid,2.1487,2,3
four_hydroxy_benzoic_Acid,carboxylic_acid,2.0003,2,3
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0211,2,3
Itaconic_Acid,carboxylic_acid,1.8866,2,3
alpha_keto_butyric_acid,carboxylic_acid,2.4525,2,3
D_malic_Acid,carboxylic_acid,1.7802,2,3
L_Arginine,aminoacid,2.1656,2,3
L_Asparagine,aminoacid,1.5825,2,3
L_phenylalanine,aminoacid,1.7112,2,3
L_serine,aminoacid,2.2743,2,3
L_threonine,aminoacid,2.167,2,3
Glycyl_L_glutamic_Acid,aminoacid,1.7361,2,3
Phenylethyl_amine,amine,1.8703,2,3
Putrescine,amine,2.0823,2,3
Water,control,1.625,3,3
Pyruvic_acid_methyl_esther,ester,1.8482,3,3
Tween40,polymer,1.9152,3,3
Tween80,polymer,1.8876,3,3
alpha_cyclodextrin,polymer,1.9445,3,3
Glycogen,polymer,2.1881,3,3
D_cellobiose,carbohydrate,1.8787,3,3
alfa_D_Lactose,carbohydrate,1.775,3,3
Beta_methyl_D_glucoside,carbohydrate,1.7339,3,3
